"Reference","Value","Mouser Price/Stock","Qty"
"3V3","TestPoint","","1"
"3V3D1","SolderJumper_2_Open","","1"
"12V1","TestPoint","","1"
"ATA_CH1","SolderJumper_2_Open","","1"
"ATA_CL1","SolderJumper_2_Open","","1"
"A_CRX1","SolderJumper_2_Open","","1"
"A_CTX1","SolderJumper_2_Open","","1"
"BOOST1","SW_Push","","1"
"BOOT1","TestPoint","","1"
"C1, C2, C9, C10, C12-C15, C17, C23","0.1uF","https://ro.mouser.com/ProductDetail/KEMET/C1210C104K5RACAUTO?qs=6HsNZxDn%2FfKYeoMwfZiUQw%3D%3D","10"
"C3, C6, C7","22uF","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL32B226KAJNNNE?qs=349EhDEZ59oxUqah7LWaWw%3D%3D","3"
"C4","10uF","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL32B106KBJNNNE?qs=349EhDEZ59rXK%2FOM74I5cg%3D%3D","1"
"C5, C16","10 uF","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL32B106KBJNNNE?qs=349EhDEZ59rXK%2FOM74I5cg%3D%3D","2"
"C8","330nF","https://ro.mouser.com/ProductDetail/KEMET/C1210C334J3RACTU?qs=6mECUfS0Ke6nQoOxT4SD9w%3D%3D","1"
"C11, C18","1uF","https://ro.mouser.com/ProductDetail/KEMET/C1210C105K5RACAUTO?qs=6HsNZxDn%2FfKtobC7oxYdSw%3D%3D","2"
"C22","2.2nF","https://ro.mouser.com/ProductDetail/KEMET/C1210C222KGRACAUTO?qs=YCa%2FAAYMW00YYMxRYUmDPg%3D%3D","1"
"CAN_H1","TestPoint","","1"
"CAN_L1","TestPoint","","1"
"CLK1","TestPoint","","1"
"D1","BZX84C18","https://eu.mouser.com/ProductDetail/Diotec-Semiconductor/BZX84C18?qs=OlC7AqGiEDmBdo82ioIQJw%3D%3D","1"
"D2","LED_GREEN","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/ASMT-BG20-AS000?qs=ZNK0BnemlqFrc3sIHSfGyw%3D%3D","1"
"D3","LED_RED","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/ASMT-BR20-AS000?qs=ZNK0BnemlqE0pAy34cXyOA%3D%3D","1"
"D4","PMEG1030EJ","https:/ro.mouser.com/ProductDetail/Nexperia/PMEG1030EJ115?qs=LOCUfHb8d9vmk7P%2FuYbs5A%3D%3D","1"
"D5","BAT760-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/BAT760-7?qs=JV7lzlMm3yKDDyO09xoRbQ%3D%3D","1"
"D6, D8","BZX84C4V3","https://eu.mouser.com/ProductDetail/Diotec-Semiconductor/BZX84C18?qs=OlC7AqGiEDmBdo82ioIQJw%3D%3D","2"
"D7","SP0503BAHTG","https://www.mouser.co.uk/ProductDetail/Littelfuse/SP0503BAHTG?qs=uD%2FdkN7XIa0NTYXwHdELYA%3D%3D","1"
"EN1","TestPoint","","1"
"GND1","TestPoint","","1"
"HY_SWITCH1","TestPoint","","1"
